date,dc_id,sku_id,demand_units,flu_season_index,promo_flag,physical_inventory,reserved_inventory,inbound_inventory,safety_stock,reorder_point,stockout_flag
2026-02-13,DC001,MED001,25.24,0.6,0,1135.8,109.0,0.0,14,176,0
2026-02-13,DC002,MED001,21.69,0.6,0,2519.3,126.0,0.0,39,185,0
2026-02-13,DC003,MED001,26.09,0.6,0,2183.9,153.0,0.0,30,183,0
2026-02-13,DC004,MED001,30.98,0.6,0,2266.0,149.0,0.0,15,172,0
2026-02-13,DC005,MED001,21.16,0.6,0,2056.8,159.0,0.0,14,176,0
2026-02-13,DC006,MED001,21.16,0.6,0,973.8,137.0,0.0,42,189,0
2026-02-13,DC007,MED001,31.3,0.6,0,862.7,103.0,0.0,43,192,0
2026-02-13,DC008,MED001,26.76,0.6,0,1653.2,83.0,0.0,15,180,0
2026-02-13,DC001,MED002,24.32,0.6,0,744.7,88.0,0.0,17,180,0
2026-02-13,DC002,MED002,29.2,0.6,0,882.8,131.0,0.0,11,178,0
2026-02-13,DC003,MED002,24.35,0.6,0,2385.6,211.0,0.0,11,175,0
2026-02-13,DC004,MED002,24.34,0.6,0,710.7,43.0,0.0,11,173,0
2026-02-13,DC005,MED002,27.75,0.6,0,2311.2,294.0,0.0,11,173,0
2026-02-13,DC006,MED002,17.36,0.6,0,1742.6,110.0,0.0,24,182,0
2026-02-13,DC007,MED002,18.27,0.6,0,2099.7,135.0,0.0,75,217,0
2026-02-13,DC008,MED002,23.87,0.6,0,1501.1,141.0,0.0,11,174,0
2026-02-13,DC001,MED003,70.63,0.6,0,1811.4,204.0,0.0,156,602,0
2026-02-13,DC002,MED003,89.18,0.6,0,2536.8,345.0,0.0,135,568,0
2026-02-13,DC003,MED003,72.1,0.6,0,2444.9,266.0,0.0,156,608,0
2026-02-13,DC004,MED003,65.05,0.6,0,1566.0,100.0,0.0,199,635,0
2026-02-13,DC005,MED003,105.27,0.6,0,1343.7,148.0,0.0,134,576,0
2026-02-13,DC006,MED003,81.63,0.6,0,2532.4,341.0,0.0,32,528,0
2026-02-13,DC007,MED003,85.73,0.6,0,1115.3,113.0,0.0,114,557,0
2026-02-13,DC008,MED003,64.88,0.6,0,2246.1,179.0,0.0,130,582,0
2026-02-13,DC001,MED004,151.75,0.6,0,1211.2,121.0,0.0,305,1105,0
2026-02-13,DC002,MED004,160.33,0.6,0,2256.7,232.0,0.0,49,987,0
2026-02-13,DC003,MED004,143.81,0.6,0,2331.2,347.0,0.0,51,984,0
2026-02-13,DC004,MED004,163.8,0.6,0,1335.2,84.0,0.0,313,1144,0
2026-02-13,DC005,MED004,151.01,0.6,0,1947.0,208.0,0.0,50,976,0
2026-02-13,DC006,MED004,155.06,0.6,0,2434.9,354.0,0.0,48,963,0
2026-02-13,DC007,MED004,151.0,0.6,0,1156.0,60.0,0.0,304,1122,0
2026-02-13,DC008,MED004,183.13,0.6,0,1571.9,88.0,0.0,221,1043,0
2026-02-13,DC001,MED005,86.72,0.6,0,1407.3,142.0,0.0,90,342,0
2026-02-13,DC002,MED005,62.97,0.6,0,1900.0,228.0,0.0,63,321,0
2026-02-13,DC003,MED005,105.74,0.6,0,1374.3,107.0,0.0,39,309,0
2026-02-13,DC004,MED005,59.26,0.6,0,2450.7,321.0,0.0,148,390,0
2026-02-13,DC005,MED005,113.54,0.6,0,1298.5,173.0,0.0,48,373,0
2026-02-13,DC006,MED005,42.46,0.6,0,1830.5,225.0,0.0,65,337,0
2026-02-13,DC007,MED005,56.82,0.6,0,953.2,53.0,0.0,129,364,0
2026-02-13,DC008,MED005,91.51,0.6,0,992.5,110.0,0.0,57,327,0
2026-02-13,DC001,MED006,38.35,0.6,0,1693.6,105.0,0.0,19,203,0
2026-02-13,DC002,MED006,32.94,0.6,0,2461.1,296.0,0.0,17,204,0
2026-02-13,DC003,MED006,30.2,0.6,0,1489.8,191.0,0.0,17,190,0
2026-02-13,DC004,MED006,28.43,0.6,0,1118.6,75.0,0.0,38,220,0
2026-02-13,DC005,MED006,17.19,0.6,0,693.8,96.0,0.0,94,274,0
2026-02-13,DC006,MED006,24.43,0.6,0,2883.6,153.0,0.0,27,210,0
2026-02-13,DC007,MED006,26.91,0.6,0,2817.1,217.0,0.0,38,213,0
2026-02-13,DC008,MED006,41.4,0.6,0,885.6,51.0,0.0,20,202,0
2026-02-13,DC001,MED007,80.96,0.6,0,1164.0,124.0,0.0,32,469,0
2026-02-13,DC002,MED007,49.37,0.6,0,2124.6,228.0,0.0,211,586,0
2026-02-13,DC003,MED007,80.67,0.6,0,1256.3,92.0,0.0,90,499,0
2026-02-13,DC004,MED007,70.04,0.6,0,1540.0,115.0,0.0,31,473,0
2026-02-13,DC005,MED007,65.66,0.6,0,2106.3,301.0,0.0,32,462,0
2026-02-13,DC006,MED007,84.98,0.6,0,1489.0,157.0,0.0,31,482,0
2026-02-13,DC007,MED007,91.27,0.6,0,1261.7,157.0,0.0,32,482,0
2026-02-13,DC008,MED007,89.78,0.6,0,2092.2,255.0,0.0,31,481,0
2026-02-13,DC001,MED008,156.97,0.6,0,2877.0,288.0,0.0,244,1124,0
2026-02-13,DC002,MED008,163.99,0.6,0,702.0,48.0,0.0,395,1200,0
2026-02-13,DC003,MED008,172.48,0.6,0,868.5,129.0,0.0,236,1112,0
2026-02-13,DC004,MED008,159.09,0.6,0,1755.9,100.0,0.0,166,954,0
2026-02-13,DC005,MED008,139.81,0.6,0,1807.2,150.0,0.0,344,1091,0
2026-02-13,DC006,MED008,143.7,0.6,0,874.3,93.0,0.0,134,935,0
2026-02-13,DC007,MED008,131.5,0.6,0,825.5,90.0,0.0,158,955,0
2026-02-13,DC008,MED008,130.31,0.6,0,1680.7,235.0,0.0,49,902,0
2026-02-13,DC001,MED009,208.44,0.6,0,1570.6,117.0,0.0,243,1263,0
2026-02-13,DC002,MED009,220.33,0.6,0,1929.7,163.0,0.0,192,1239,0
2026-02-13,DC003,MED009,189.1,0.6,0,1083.9,149.0,0.0,289,1297,0
2026-02-13,DC004,MED009,187.75,0.6,0,1676.2,84.0,0.0,272,1100,0
2026-02-13,DC005,MED009,173.71,0.6,0,2614.3,158.0,0.0,238,1093,0
2026-02-13,DC006,MED009,151.7,0.6,0,1281.3,72.0,0.0,63,1025,0
2026-02-13,DC007,MED009,173.71,0.6,0,2644.3,320.0,0.0,60,1016,0
2026-02-13,DC008,MED009,199.43,0.6,0,2031.6,207.0,0.0,240,1096,0
2026-02-13,DC001,MED010,95.39,0.6,0,1286.6,112.0,0.0,59,376,0
2026-02-13,DC002,MED010,148.08,0.6,0,578.9,34.0,0.0,60,355,0
2026-02-13,DC003,MED010,10.32,0.6,0,1538.7,88.0,0.0,98,350,0
2026-02-13,DC004,MED010,123.63,0.6,0,1763.4,130.0,0.0,107,386,0
2026-02-13,DC005,MED010,123.58,0.6,0,1280.4,154.0,0.0,78,452,0
2026-02-13,DC006,MED010,86.73,0.6,0,2624.3,215.0,0.0,57,398,0
2026-02-13,DC007,MED010,99.59,0.6,0,2488.4,319.0,0.0,71,382,0
2026-02-13,DC008,MED010,31.14,0.6,0,2258.9,218.0,0.0,94,402,0
2026-02-13,DC001,MED011,51.53,0.6,0,704.5,50.0,0.0,140,458,0
2026-02-13,DC002,MED011,59.04,0.6,0,1141.0,75.0,0.0,117,438,0
2026-02-13,DC003,MED011,73.62,0.6,0,3454.4,187.0,0.0,106,437,0
2026-02-13,DC004,MED011,47.65,0.6,0,2652.4,220.0,0.0,79,434,0
2026-02-13,DC005,MED011,43.87,0.6,0,791.1,80.0,0.0,185,491,0
2026-02-13,DC006,MED011,47.86,0.6,0,2054.1,109.0,0.0,32,403,0
2026-02-13,DC007,MED011,66.3,0.6,0,1156.7,87.0,0.0,32,411,0
2026-02-13,DC008,MED011,58.67,0.6,0,1973.3,101.0,0.0,86,415,0
2026-02-13,DC001,MED012,126.94,0.6,0,1798.1,267.0,0.0,133,610,0
2026-02-13,DC002,MED012,185.42,0.6,0,1989.6,225.0,0.0,95,577,0
2026-02-13,DC003,MED012,162.08,0.6,0,2448.9,321.0,0.0,104,586,0
2026-02-13,DC004,MED012,210.95,0.6,0,1162.0,110.0,0.0,271,692,0
2026-02-13,DC005,MED012,156.44,0.6,0,1479.6,123.0,0.0,109,691,0
2026-02-13,DC006,MED012,138.27,0.6,0,1335.7,143.0,0.0,190,616,0
2026-02-13,DC007,MED012,134.65,0.6,0,1624.4,145.0,0.0,258,654,0
2026-02-13,DC008,MED012,74.58,0.6,0,2705.4,193.0,0.0,178,602,0
2026-02-13,DC001,MED013,46.32,0.6,0,1357.7,73.0,0.0,19,275,0
2026-02-13,DC002,MED013,46.01,0.6,0,1616.0,147.0,0.0,19,282,0
2026-02-13,DC003,MED013,43.8,0.6,0,1438.2,92.0,0.0,17,277,0
2026-02-13,DC004,MED013,41.72,0.6,0,2256.3,255.0,0.0,17,270,0
2026-02-13,DC005,MED013,31.5,0.6,0,2367.5,307.0,0.0,19,286,0
2026-02-13,DC006,MED013,40.11,0.6,0,2136.9,274.0,0.0,50,303,0
2026-02-13,DC007,MED013,40.79,0.6,0,1518.2,214.0,0.0,80,318,0
2026-02-13,DC008,MED013,36.81,0.6,0,1097.2,90.0,0.0,83,310,0
2026-02-13,DC001,MED014,50.39,0.6,0,2270.6,127.0,0.0,32,338,0
2026-02-13,DC002,MED014,59.79,0.6,0,1985.2,204.0,0.0,32,338,0
2026-02-13,DC003,MED014,84.42,0.6,0,1281.6,192.0,0.0,117,400,0
2026-02-13,DC004,MED014,55.97,0.6,0,1027.0,62.0,0.0,34,344,0
2026-02-13,DC005,MED014,57.35,0.6,0,1546.6,219.0,0.0,123,365,0
2026-02-13,DC006,MED014,51.84,0.6,0,2586.2,348.0,0.0,30,331,0
2026-02-13,DC007,MED014,21.18,0.6,0,1546.8,132.0,0.0,114,400,0
2026-02-13,DC008,MED014,52.63,0.6,0,1297.4,175.0,0.0,94,353,0
2026-02-13,DC001,MED015,175.07,0.6,0,1393.9,167.0,0.0,403,1295,0
2026-02-13,DC002,MED015,228.92,0.6,0,1476.1,78.0,0.0,376,1249,0
2026-02-13,DC003,MED015,169.41,0.6,0,1757.6,254.0,0.0,402,1232,0
2026-02-13,DC004,MED015,157.82,0.6,0,2288.2,340.0,0.0,250,1046,0
2026-02-13,DC005,MED015,150.29,0.6,0,2626.7,261.0,0.0,56,935,0
2026-02-13,DC006,MED015,124.87,0.6,0,1249.1,92.0,0.0,58,914,0
2026-02-13,DC007,MED015,176.67,0.6,0,1298.3,184.0,0.0,281,1074,0
2026-02-13,DC008,MED015,167.91,0.6,0,1086.1,154.0,0.0,55,956,0
2026-02-13,DC001,MED016,104.93,0.6,0,2664.1,219.0,0.0,49,295,0
2026-02-13,DC002,MED016,50.95,0.6,0,2621.0,334.0,0.0,108,330,0
2026-02-13,DC003,MED016,124.35,0.6,0,1938.6,264.0,0.0,55,296,0
2026-02-13,DC004,MED016,35.31,0.6,0,882.7,77.0,0.0,54,327,0
2026-02-13,DC005,MED016,118.4,0.6,0,1814.6,163.0,0.0,172,432,0
2026-02-13,DC006,MED016,149.35,0.6,0,2816.6,185.0,0.0,84,333,0
2026-02-13,DC007,MED016,48.37,0.6,0,2329.6,301.0,0.0,46,315,0
2026-02-13,DC008,MED016,61.84,0.6,0,2377.2,273.0,0.0,51,293,0
2026-02-13,DC001,MED017,31.15,0.6,0,1212.8,173.0,0.0,65,252,0
