order_id,dc_id,sku_id,distributor_id,order_date,promised_delivery_date,actual_delivery_date,ordered_qty,received_qty,on_time,fill_rate,order_frequency_days
ORD000001,DC001,MED001,SUP005,2026-02-13,2026-02-13,2026-02-13,36.0,36.0,True,1.0,7.0
ORD000002,DC003,MED001,SUP005,2026-02-13,2026-02-13,2026-02-13,31.0,31.0,True,1.0,2.0
ORD000003,DC005,MED001,SUP005,2026-02-13,2026-02-13,2026-02-13,25.0,25.0,True,1.0,1.0
ORD000004,DC006,MED001,SUP005,2026-02-13,2026-02-13,2026-02-13,25.0,25.0,True,1.0,1.0
ORD000005,DC007,MED001,SUP005,2026-02-13,2026-02-13,2026-02-13,43.0,43.0,True,1.0,2.0
ORD000006,DC008,MED001,SUP005,2026-02-13,2026-02-13,2026-02-13,28.0,28.0,True,1.0,1.0
ORD000007,DC001,MED002,SUP005,2026-02-13,2026-02-13,2026-02-13,37.0,37.0,True,1.0,2.0
ORD000008,DC002,MED002,SUP005,2026-02-13,2026-02-13,2026-02-13,29.0,29.0,True,1.0,1.0
ORD000009,DC004,MED002,SUP005,2026-02-13,2026-02-13,2026-02-13,32.0,32.0,True,1.0,1.0
ORD000010,DC007,MED002,SUP005,2026-02-13,2026-02-13,2026-02-13,23.0,23.0,True,1.0,3.0
ORD000011,DC001,MED003,SUP003,2026-02-13,2026-02-13,2026-02-13,82.0,82.0,True,1.0,1.0
ORD000012,DC002,MED003,SUP003,2026-02-13,2026-02-13,2026-02-13,91.0,91.0,True,1.0,1.0
ORD000013,DC003,MED003,SUP003,2026-02-13,2026-02-13,2026-02-13,96.0,96.0,True,1.0,1.0
ORD000014,DC004,MED003,SUP003,2026-02-13,2026-02-13,2026-02-13,66.0,66.0,True,1.0,1.0
ORD000015,DC005,MED003,SUP003,2026-02-13,2026-02-13,2026-02-13,134.0,134.0,True,1.0,1.0
ORD000016,DC006,MED003,SUP003,2026-02-13,2026-02-13,2026-02-13,88.0,88.0,True,1.0,1.0
ORD000017,DC008,MED003,SUP003,2026-02-13,2026-02-13,2026-02-13,91.0,91.0,True,1.0,1.0
ORD000018,DC001,MED004,SUP005,2026-02-13,2026-02-13,2026-02-13,173.0,173.0,True,1.0,1.0
ORD000019,DC005,MED004,SUP005,2026-02-13,2026-02-13,2026-02-13,185.0,185.0,True,1.0,2.0
ORD000020,DC007,MED004,SUP005,2026-02-13,2026-02-13,2026-02-13,152.0,152.0,True,1.0,2.0
ORD000021,DC001,MED005,SUP005,2026-02-13,2026-02-13,2026-02-13,100.0,100.0,True,1.0,2.0
ORD000022,DC002,MED005,SUP005,2026-02-13,2026-02-13,2026-02-13,76.0,76.0,True,1.0,4.0
ORD000023,DC003,MED005,SUP005,2026-02-13,2026-02-13,2026-02-13,119.0,119.0,True,1.0,1.0
ORD000024,DC004,MED005,SUP005,2026-02-13,2026-02-13,2026-02-13,69.0,69.0,True,1.0,1.0
ORD000025,DC005,MED005,SUP005,2026-02-13,2026-02-13,2026-02-13,112.0,112.0,True,1.0,2.0
ORD000026,DC007,MED005,SUP005,2026-02-13,2026-02-13,2026-02-13,66.0,66.0,True,1.0,1.0
ORD000027,DC008,MED005,SUP005,2026-02-13,2026-02-13,2026-02-13,117.0,117.0,True,1.0,1.0
ORD000028,DC002,MED006,SUP002,2026-02-13,2026-02-13,2026-02-13,47.0,47.0,True,1.0,2.0
ORD000029,DC004,MED006,SUP002,2026-02-13,2026-02-13,2026-02-13,37.0,37.0,True,1.0,1.0
ORD000030,DC007,MED006,SUP002,2026-02-13,2026-02-13,2026-02-13,38.0,38.0,True,1.0,1.0
ORD000031,DC008,MED006,SUP002,2026-02-13,2026-02-13,2026-02-13,48.0,48.0,True,1.0,1.0
ORD000032,DC001,MED007,SUP001,2026-02-13,2026-02-13,2026-02-13,82.0,82.0,True,1.0,2.0
ORD000033,DC003,MED007,SUP001,2026-02-13,2026-02-13,2026-02-13,83.0,83.0,True,1.0,1.0
ORD000034,DC004,MED007,SUP001,2026-02-13,2026-02-13,2026-02-13,75.0,75.0,True,1.0,1.0
ORD000035,DC007,MED007,SUP001,2026-02-13,2026-02-13,2026-02-13,98.0,98.0,True,1.0,1.0
ORD000036,DC008,MED007,SUP001,2026-02-13,2026-02-13,2026-02-13,87.0,87.0,True,1.0,2.0
ORD000037,DC004,MED008,SUP002,2026-02-13,2026-02-13,2026-02-13,170.0,170.0,True,1.0,2.0
ORD000038,DC005,MED008,SUP002,2026-02-13,2026-02-13,2026-02-13,128.0,128.0,True,1.0,1.0
ORD000039,DC006,MED008,SUP002,2026-02-13,2026-02-13,2026-02-13,170.0,170.0,True,1.0,1.0
ORD000040,DC007,MED008,SUP002,2026-02-13,2026-02-13,2026-02-13,161.0,161.0,True,1.0,2.0
ORD000041,DC001,MED009,SUP002,2026-02-13,2026-02-13,2026-02-13,224.0,224.0,True,1.0,1.0
ORD000042,DC004,MED009,SUP002,2026-02-13,2026-02-13,2026-02-13,240.0,240.0,True,1.0,1.0
ORD000043,DC005,MED009,SUP002,2026-02-13,2026-02-13,2026-02-13,178.0,178.0,True,1.0,2.0
ORD000044,DC007,MED009,SUP002,2026-02-13,2026-02-13,2026-02-13,229.0,229.0,True,1.0,1.0
ORD000045,DC002,MED010,SUP002,2026-02-13,2026-02-13,2026-02-13,149.0,149.0,True,1.0,1.0
ORD000046,DC003,MED010,SUP002,2026-02-13,2026-02-13,2026-02-13,21.0,21.0,True,1.0,1.0
ORD000047,DC004,MED010,SUP002,2026-02-13,2026-02-13,2026-02-13,135.0,135.0,True,1.0,2.0
