sku_id,supplier_type,dc_id,lead_time_days,min_order_qty,max_order_qty
MED001,regular,DC001,3.0,50,10000
MED001,local,DC001,2.0,20,2000
MED001,transfer,DC001,1.0,0,5000
MED001,urgent,DC001,1.8,50,1000
MED001,regular,DC002,3.0,50,10000
MED001,local,DC002,2.0,20,2000
MED001,transfer,DC002,1.0,0,5000
MED001,urgent,DC002,1.8,50,1000
MED001,regular,DC003,2.0,50,10000
MED001,local,DC003,2.0,20,2000
MED001,transfer,DC003,1.0,0,5000
MED001,urgent,DC003,1.2,50,1000
MED001,regular,DC004,8.0,50,10000
MED001,local,DC004,3.2,20,2000
MED001,transfer,DC004,2.0,0,5000
MED001,urgent,DC004,4.8,50,1000
MED001,regular,DC005,5.0,50,10000
MED001,local,DC005,2.0,20,2000
MED001,transfer,DC005,1.2,0,5000
MED001,urgent,DC005,3.0,50,1000
MED001,regular,DC006,7.0,50,10000
MED001,local,DC006,2.8,20,2000
MED001,transfer,DC006,1.8,0,5000
MED001,urgent,DC006,4.2,50,1000
MED001,regular,DC007,6.0,50,10000
MED001,local,DC007,2.4,20,2000
MED001,transfer,DC007,1.5,0,5000
MED001,urgent,DC007,3.6,50,1000
MED001,regular,DC008,4.0,50,10000
MED001,local,DC008,2.0,20,2000
MED001,transfer,DC008,1.0,0,5000
MED001,urgent,DC008,2.4,50,1000
MED002,regular,DC001,7.0,50,10000
MED002,local,DC001,2.8,20,2000
MED002,transfer,DC001,1.8,0,5000
MED002,urgent,DC001,4.2,50,1000
MED002,regular,DC002,2.0,50,10000
MED002,local,DC002,2.0,20,2000
MED002,transfer,DC002,1.0,0,5000
MED002,urgent,DC002,1.2,50,1000
MED002,regular,DC003,6.0,50,10000
MED002,local,DC003,2.4,20,2000
MED002,transfer,DC003,1.5,0,5000
MED002,urgent,DC003,3.6,50,1000
MED002,regular,DC004,4.0,50,10000
MED002,local,DC004,2.0,20,2000
MED002,transfer,DC004,1.0,0,5000
MED002,urgent,DC004,2.4,50,1000
MED002,regular,DC005,8.0,50,10000
MED002,local,DC005,3.2,20,2000
MED002,transfer,DC005,2.0,0,5000
MED002,urgent,DC005,4.8,50,1000
MED002,regular,DC006,10.0,50,10000
MED002,local,DC006,4.0,20,2000
MED002,transfer,DC006,2.5,0,5000
MED002,urgent,DC006,6.0,50,1000
MED002,regular,DC007,7.0,50,10000
MED002,local,DC007,2.8,20,2000
MED002,transfer,DC007,1.8,0,5000
MED002,urgent,DC007,4.2,50,1000
MED002,regular,DC008,8.0,50,10000
MED002,local,DC008,3.2,20,2000
MED002,transfer,DC008,2.0,0,5000
MED002,urgent,DC008,4.8,50,1000
MED003,regular,DC001,5.0,50,10000
MED003,local,DC001,2.0,20,2000
MED003,transfer,DC001,1.2,0,5000
MED003,urgent,DC001,3.0,50,1000
MED003,regular,DC002,3.0,50,10000
MED003,local,DC002,2.0,20,2000
MED003,transfer,DC002,1.0,0,5000
MED003,urgent,DC002,1.8,50,1000
MED003,regular,DC003,4.0,50,10000
MED003,local,DC003,2.0,20,2000
MED003,transfer,DC003,1.0,0,5000
MED003,urgent,DC003,2.4,50,1000
MED003,regular,DC004,7.0,50,10000
MED003,local,DC004,2.8,20,2000
MED003,transfer,DC004,1.8,0,5000
MED003,urgent,DC004,4.2,50,1000
MED003,regular,DC005,6.0,50,10000
MED003,local,DC005,2.4,20,2000
MED003,transfer,DC005,1.5,0,5000
MED003,urgent,DC005,3.6,50,1000
MED003,regular,DC006,8.0,50,10000
MED003,local,DC006,3.2,20,2000
MED003,transfer,DC006,2.0,0,5000
MED003,urgent,DC006,4.8,50,1000
MED003,regular,DC007,6.0,50,10000
MED003,local,DC007,2.4,20,2000
MED003,transfer,DC007,1.5,0,5000
MED003,urgent,DC007,3.6,50,1000
MED003,regular,DC008,6.0,50,10000
MED003,local,DC008,2.4,20,2000
MED003,transfer,DC008,1.5,0,5000
MED003,urgent,DC008,3.6,50,1000
MED003,regular,DC001,3.0,50,10000
MED003,local,DC001,2.0,20,2000
MED003,transfer,DC001,1.0,0,5000
MED003,urgent,DC001,1.8,50,1000
MED003,regular,DC002,2.0,50,10000
MED003,local,DC002,2.0,20,2000
MED003,transfer,DC002,1.0,0,5000
MED003,urgent,DC002,1.2,50,1000
MED003,regular,DC003,5.0,50,10000
MED003,local,DC003,2.0,20,2000
MED003,transfer,DC003,1.2,0,5000
MED003,urgent,DC003,3.0,50,1000
MED003,regular,DC004,8.0,50,10000
MED003,local,DC004,3.2,20,2000
MED003,transfer,DC004,2.0,0,5000
MED003,urgent,DC004,4.8,50,1000
MED003,regular,DC005,9.0,50,10000
MED003,local,DC005,3.6,20,2000
MED003,transfer,DC005,2.2,0,5000
MED003,urgent,DC005,5.4,50,1000
MED003,regular,DC006,6.0,50,10000
MED003,local,DC006,2.4,20,2000
MED003,transfer,DC006,1.5,0,5000
MED003,urgent,DC006,3.6,50,1000
MED003,regular,DC007,3.0,50,10000
MED003,local,DC007,2.0,20,2000
MED003,transfer,DC007,1.0,0,5000
MED003,urgent,DC007,1.8,50,1000
MED003,regular,DC008,8.0,50,10000
MED003,local,DC008,3.2,20,2000
MED003,transfer,DC008,2.0,0,5000
MED003,urgent,DC008,4.8,50,1000
MED004,regular,DC001,5.0,50,10000
MED004,local,DC001,2.0,20,2000
MED004,transfer,DC001,1.2,0,5000
MED004,urgent,DC001,3.0,50,1000
MED004,regular,DC002,3.0,50,10000
MED004,local,DC002,2.0,20,2000
MED004,transfer,DC002,1.0,0,5000
MED004,urgent,DC002,1.8,50,1000
