event_name,start_date,end_date,demand_multiplier,affected_categories,event_type,promo_flag,flu_season_flag
Seasonal Bundle,2026-07-20,2026-08-03,1.001,all,promo,1,0
BOGO,2026-04-08,2026-04-20,1.0025,all,promo,1,0
BOGO,2026-06-28,2026-07-04,1.0025,all,promo,1,0
Discount,2026-05-16,2026-05-31,1.001,all,promo,1,0
Seasonal Bundle,2026-06-29,2026-07-08,1.0025,all,promo,1,0
BOGO,2026-03-17,2026-03-27,1.002,all,promo,1,0
BOGO,2026-07-04,2026-07-09,1.0025,all,promo,1,0
Seasonal Bundle,2026-07-05,2026-07-15,1.0025,all,promo,1,0
BOGO,2026-04-16,2026-04-25,1.0015,all,promo,1,0
Seasonal Bundle,2026-03-26,2026-03-31,1.0015,all,promo,1,0
Discount,2026-07-14,2026-07-19,1.0025,all,promo,1,0
BOGO,2026-06-21,2026-06-27,1.0015,all,promo,1,0
Discount,2026-06-09,2026-06-21,1.0025,all,promo,1,0
Discount,2026-06-01,2026-06-09,1.0015,all,promo,1,0
Discount,2026-05-21,2026-06-03,1.002,all,promo,1,0
Discount,2026-07-23,2026-08-06,1.0025,all,promo,1,0
BOGO,2026-05-22,2026-06-01,1.0025,all,promo,1,0
Discount,2026-04-25,2026-05-09,1.0025,all,promo,1,0
BOGO,2026-05-15,2026-05-27,1.0025,all,promo,1,0
Discount,2026-03-04,2026-03-11,1.002,all,promo,1,0
Winter Flu Season,2026-01-01,2026-02-28,1.6,"antibiotic,analgesic",flu_season,0,1
Monsoon Disease Peak,2026-07-01,2026-08-31,1.5,"antibiotic,antifungal",flu_season,0,1
